loading data...
0	-93,9421163494835%
1000	61,3573057705661%
2000	69,6825465614839%
3000	76,0773586728478%
4000	79,0773968080884%
5000	81,5932898364941%
6000	80,7359845075621%
Done!
0	11,5%
1000	66%
2000	74,2%
3000	83,2%
4000	82,5%
5000	84,9%
6000	84,6%
7000	86,8%
8000	86,7%
9000	86%
10000	86,2%
11000	87%
12000	86,6%
13000	86,9%
14000	87,4%
15000	89,1%
16000	88,2%
17000	88,9%
18000	89%
19000	90%
20000	89,9%
21000	89%
22000	89,5%
23000	89,4%
24000	90,2%
25000	89,4%
26000	90,4%
27000	91%
28000	90,6%
29000	91,4%
30000	88,9%
31000	89,4%
32000	90,8%
33000	91,5%
34000	91,1%
35000	90,9%
36000	91%
37000	90,9%
38000	91,4%
39000	90,7%
40000	90,9%
41000	91%
42000	90,8%
43000	91,6%
44000	91,2%
45000	91,6%
46000	91,8%
47000	92,2%
48000	90,5%
49000	91,8%
50000	92,2%
51000	92,6%
52000	92,2%
53000	92,1%
54000	92,3%
55000	92,1%
56000	92,9%
57000	92,3%
58000	92,2%
59000	91%
60000	92,1%
61000	92,4%
62000	92,3%
63000	93%
64000	93,2%
65000	92,5%
66000	93,1%
67000	92,9%
68000	92,6%
69000	92,9%
70000	93,6%
71000	92,8%
72000	93,3%
73000	93,5%
74000	93,7%
75000	93,4%
76000	93,7%
77000	93,8%
78000	93,3%
79000	93,6%
80000	92,6%
81000	93,1%
82000	94,1%
83000	94,1%
84000	93,1%
85000	93,5%
86000	93,1%
87000	92,7%
88000	93,6%
89000	93,4%
90000	93,4%
91000	93,6%
92000	93,2%
93000	93,9%
94000	93,6%
95000	93,2%
96000	93,6%
97000	93,8%
98000	93,8%
99000	94%
Done!
	200	20	0,2	0,02	0,005	False	0	0,9482	571,626	106020
0	-91,1973273417083%
1000	62,361366277125%
2000	70,5069413442886%
3000	76,3884564527823%
4000	79,2774812083622%
5000	82,0186312521429%
6000	81,0887593005919%
Done!
0	10%
1000	64,9%
2000	73,8%
3000	76%
4000	77,1%
5000	78,2%
6000	78,5%
7000	79,6%
8000	79,9%
9000	77,9%
10000	83,7%
11000	85,9%
12000	85,4%
13000	86,7%
14000	85,4%
15000	88,3%
16000	88,5%
17000	88,4%
18000	87,5%
19000	89,2%
20000	88,9%
21000	86,9%
22000	89%
23000	88,6%
24000	88,9%
25000	88,7%
26000	89,3%
