loading data...
0	-83,4260117308173%
1000	46,0039822020224%
2000	47,3714211114542%
3000	47,8834951544758%
4000	47,9392912630266%
5000	48,2749796384821%
6000	46,4355271709453%
Done!
0	10,4%
1000	10,6%
2000	10,4%
3000	10,7%
4000	10,7%
5000	10,7%
6000	10,5%
7000	10,7%
8000	10,7%
9000	9,3%
10000	10%
11000	8,9%
12000	9,8%
13000	10,5%
14000	10,7%
15000	10,7%
16000	10,7%
17000	10,7%
18000	10,7%
19000	10,7%
20000	10%
21000	10,7%
22000	10,7%
23000	10,7%
24000	10,7%
25000	10,7%
26000	10,7%
27000	10,4%
28000	10,7%
29000	10,7%
30000	9,8%
31000	10,6%
32000	10,7%
33000	10,7%
34000	10,7%
35000	10,6%
36000	10,5%
37000	9,8%
38000	10,5%
39000	10,7%
40000	10,7%
41000	10,7%
42000	10,7%
43000	10,7%
44000	10,7%
45000	10,6%
46000	10,5%
47000	10,5%
48000	10,7%
49000	8,9%
50000	10,5%
51000	10,6%
52000	10,4%
53000	10,7%
54000	10,7%
55000	10,7%
56000	10,5%
57000	10,7%
58000	10,7%
59000	9,3%
60000	10%
61000	8,9%
62000	9,8%
63000	10,5%
64000	10,7%
65000	10,7%
66000	10,7%
67000	10,7%
68000	10,7%
69000	10,7%
70000	10%
71000	10,7%
72000	10,7%
73000	10,7%
74000	10,7%
75000	10,7%
76000	10,7%
77000	10,4%
78000	10,7%
79000	10,7%
80000	9,8%
81000	10,6%
82000	10,7%
83000	10,7%
84000	10,7%
85000	10,6%
86000	10,5%
87000	9,8%
88000	10,5%
89000	10,7%
90000	10,7%
91000	10,7%
92000	10,7%
93000	10,7%
94000	10,7%
95000	10,6%
96000	10,5%
97000	10,5%
98000	10,7%
99000	8,9%
Done!
	10	20	0,2	0,02	0,005	False	0	0,101	63,243	106020
0	-83,7228357416039%
1000	46,2167488869647%
2000	46,9465575275053%
3000	48,6493538091655%
4000	49,509506443985%
5000	50,2988397023299%
6000	49,1382651859524%
Done!
0	9,1%
1000	10,6%
2000	23,1%
3000	24,6%
4000	26%
5000	19,6%
6000	35,2%
7000	32,7%
8000	34,7%
9000	36,8%
10000	35,3%
11000	33,4%
12000	35,5%
13000	37,5%
14000	39%
15000	37,6%
16000	36,8%
17000	42,2%
18000	40,7%
19000	37,2%
20000	48,1%
21000	42,9%
22000	44,5%
23000	48,9%
24000	50,9%
25000	47,9%
26000	49,7%
27000	49,6%
28000	51,2%
29000	50,8%
30000	51,5%
31000	52%
32000	52%
33000	53,2%
34000	52,1%
35000	53,1%
36000	52%
37000	51,3%
38000	50,7%
39000	54,4%
40000	50,8%
41000	53%
42000	53,7%
43000	55,1%
44000	51,5%
45000	52,5%
46000	54,6%
47000	54,7%
48000	52,7%
49000	51,4%
50000	55,2%
51000	54,9%
52000	53,9%
53000	54,8%
54000	55%
55000	55,4%
56000	55,3%
57000	57,9%
58000	53,8%
59000	53,4%
60000	56,5%
61000	56,8%
62000	56,7%
63000	54%
64000	58,8%
65000	58,3%
66000	61,7%
67000	62,7%
68000	63,4%
69000	64,2%
70000	63%
71000	63,3%
72000	62,3%
73000	62,9%
74000	64,4%
75000	62,2%
76000	62,5%
77000	61,2%
78000	63,4%
79000	62,8%
80000	61,7%
81000	66,6%
82000	62,8%
83000	62,3%
84000	66%
85000	65,2%
86000	63,8%
87000	62,5%
88000	64,6%
89000	64,7%
90000	65%
91000	65,2%
92000	63,7%
93000	63,4%
94000	64%
95000	64,2%
96000	65%
97000	67,1%
98000	64,8%
99000	64,6%
Done!
	20	20	0,2	0,02	0,005	False	0	0,6245	96,407	106020
0	-85,3066943678935%
1000	49,7799657586338%
2000	54,9136522890641%
3000	59,4863882525231%
4000	61,7842117991953%
5000	63,9861701382145%
6000	61,6525839687687%
Done!
0	9,1%
1000	12,8%
2000	57,7%
3000	57,5%
4000	63,5%
5000	60,7%
6000	65,1%
7000	65,1%
8000	66,4%
9000	64,3%
10000	65,6%
11000	66%
12000	66,8%
13000	66,2%
14000	67,2%
15000	71,5%
16000	72,1%
17000	72,3%
18000	78,8%
19000	80,6%
20000	82,5%
21000	81,6%
22000	83,7%
23000	82,9%
24000	84,4%
25000	84%
26000	85,1%
27000	85,1%
28000	85,5%
29000	85,7%
30000	85,1%
31000	85,9%
32000	86,1%
33000	86,9%
34000	87,5%
35000	87,2%
36000	86,7%
37000	87,1%
38000	88,2%
39000	88,1%
40000	87,8%
41000	87,9%
42000	87,5%
43000	87,8%
44000	87,6%
45000	88,1%
46000	89,2%
47000	88,1%
48000	86,3%
49000	88,7%
50000	88,1%
51000	89,1%
52000	89,3%
53000	88,6%
54000	89,5%
55000	89,2%
56000	89,1%
57000	89,6%
58000	89,6%
59000	88%
60000	86,8%
61000	89,9%
62000	89%
63000	88,5%
64000	89,4%
65000	89,6%
66000	88,8%
67000	89,8%
68000	89,8%
69000	89,6%
70000	89,9%
71000	90,2%
72000	90,1%
73000	90%
74000	90%
75000	89,1%
76000	89,8%
77000	89,9%
78000	89,9%
79000	90,2%
80000	89%
81000	89,4%
82000	89,6%
83000	90,9%
84000	90,5%
85000	90,8%
86000	90,3%
87000	90,4%
88000	90,2%
89000	89,6%
90000	90%
91000	90,2%
92000	89%
93000	90,1%
94000	89,8%
95000	90,2%
96000	90,9%
97000	89,8%
98000	89,3%
99000	90,4%
Done!
	50	20	0,2	0,02	0,005	False	0	0,9132	151,516	106020
0	-86,5645459538883%
1000	54,3897292777098%
2000	60,6345797028465%
3000	66,4196239612436%
4000	68,4805890737978%
5000	71,4263612841964%
6000	69,1343696806548%
Done!
0	10%
1000	39,1%
2000	64,5%
3000	69,5%
4000	71,2%
5000	72,5%
6000	73,5%
7000	76,5%
8000	75,6%
9000	75%
10000	76,5%
11000	77,5%
12000	78,2%
13000	79,1%
14000	75,8%
15000	79,3%
16000	79,9%
17000	79,3%
18000	80,3%
19000	79%
20000	80,4%
21000	80,5%
22000	80,3%
23000	80,9%
24000	81,5%
25000	81,1%
26000	80,1%
27000	81,5%
28000	81%
29000	82%
30000	81,1%
31000	81,5%
32000	82,8%
33000	81,2%
34000	81,2%
35000	82,4%
36000	81,5%
37000	88,8%
38000	89,7%
39000	89,9%
40000	88,7%
41000	89,8%
42000	88%
43000	89,8%
44000	89,5%
45000	90,3%
46000	90,6%
47000	90,4%
48000	87,2%
49000	90,3%
50000	90,1%
51000	90,8%
52000	91,1%
53000	91,4%
54000	91%
55000	90,9%
56000	91,5%
57000	91%
58000	91,1%
59000	89,6%
60000	89,4%
61000	91,1%
62000	89,4%
63000	91,4%
64000	90,6%
65000	91,8%
66000	91,5%
67000	91,4%
68000	91,3%
69000	92,5%
70000	92,4%
71000	92,6%
72000	93,3%
73000	92,9%
74000	92,1%
75000	92,3%
76000	92,4%
77000	92,9%
78000	92,8%
79000	92,4%
80000	91,5%
81000	91,3%
82000	92,5%
83000	92,4%
