Autoencoder.cs(9,34): warning CS0169: Pole "Autoencoder.layers" nie jest nigdy u¾ywane [D:\pzend\Desktop\sieci-neuronowe\lab02\lab02\lab02.csproj]
loading data...
0	9,3%
1000	10,8%
2000	59,8%
3000	61,7%
4000	72,7%
5000	74,4%
6000	75,2%
7000	83,2%
8000	84,2%
9000	83,1%
10000	84,4%
11000	85%
12000	83,2%
13000	85,6%
14000	84,7%
15000	88,3%
16000	88,1%
17000	88,4%
18000	89,1%
19000	88,4%
20000	89,3%
21000	87,7%
22000	89,5%
23000	88,9%
24000	89,8%
25000	89,4%
26000	91,2%
	100	20	0,2	0,02	0,005	False	0	0,911	60,828	26020
0	11,2%
1000	13%
2000	53%
3000	59,2%
4000	73,7%
5000	72,1%
6000	74,2%
7000	83,3%
8000	83,1%
9000	81,4%
10000	83,8%
11000	84,9%
12000	83,3%
13000	85,1%
14000	84,1%
15000	87,6%
16000	87,2%
17000	87,9%
18000	88,3%
19000	87,8%
20000	88,8%
21000	86,6%
22000	88,6%
23000	88,1%
24000	88,6%
25000	88,8%
26000	89,9%
27000	89,7%
28000	89,7%
29000	90,2%
	100	20	0,2	0,02	0,005	False	0,05	0,9104	67,604	29020
0	9,3%
1000	17,9%
2000	51,1%
3000	59,6%
4000	72,3%
5000	70,2%
6000	72,4%
7000	80%
8000	82,9%
9000	78,3%
10000	83%
11000	84,5%
12000	83,1%
13000	84,9%
14000	84,6%
15000	86,4%
16000	86,7%
17000	86,7%
18000	87,1%
19000	87,4%
20000	87,7%
21000	86,2%
22000	87,9%
23000	86,9%
24000	88,3%
25000	88,3%
26000	88,8%
27000	89,2%
28000	89,4%
29000	89,4%
30000	89,4%
31000	89%
32000	89,6%
33000	90,2%
	100	20	0,2	0,02	0,005	False	0,1	0,9108	77,69	33020
0	9,5%
1000	10,6%
2000	53%
3000	53,6%
4000	65,6%
5000	64,6%
6000	70,8%
7000	77,5%
8000	78,1%
9000	75,7%
10000	81,6%
11000	83,1%
12000	82,8%
13000	84%
14000	84,5%
15000	85,9%
16000	87,1%
17000	86,2%
18000	87,2%
19000	86,5%
20000	87,6%
21000	86,2%
22000	88%
23000	86,9%
24000	88,1%
25000	87,7%
26000	88,9%
27000	89,4%
28000	88,8%
29000	89,2%
30000	89,2%
31000	89,5%
32000	88,9%
33000	89,3%
34000	88,9%
35000	88,4%
36000	89,3%
37000	89,1%
38000	89%
39000	89,6%
40000	89,2%
41000	89,4%
42000	89%
43000	89,6%
44000	89,4%
45000	89,5%
46000	89,4%
47000	89,9%
48000	89,6%
49000	90,3%
	100	20	0,2	0,02	0,005	False	0,2	0,9066	112,853	49020
0	9,8%
1000	24,5%
2000	38%
3000	41,6%
4000	42,3%
5000	36,1%
6000	34,7%
7000	34%
8000	33,4%
9000	36,9%
10000	37,6%
11000	41,3%
12000	43,5%
13000	48%
14000	50,3%
15000	53,1%
16000	55,5%
17000	58,2%
18000	55,9%
19000	58,1%
20000	59,1%
21000	60,9%
22000	62,4%
23000	61,3%
24000	63,8%
25000	64,5%
26000	66,5%
27000	69,9%
28000	73,2%
29000	72,8%
30000	75,1%
31000	75,4%
32000	77,3%
33000	78,8%
34000	76,1%
35000	76,4%
36000	78%
37000	79,1%
38000	79,2%
39000	81,9%
40000	81,7%
41000	82,8%
42000	81,3%
43000	82,2%
44000	82,7%
45000	84%
46000	83,6%
47000	82,7%
48000	83,1%
49000	83%
50000	84%
51000	84,1%
52000	84,9%
53000	84,4%
54000	85,9%
55000	86,1%
56000	83,9%
57000	84,9%
58000	85,5%
59000	84,4%
60000	85,6%
61000	85,7%
62000	86,3%
63000	85,5%
64000	86,2%
65000	86,2%
66000	86,5%
67000	86,4%
68000	87,1%
69000	87,2%
70000	86,9%
71000	87,4%
72000	86,7%
73000	86,2%
74000	86,5%
75000	87,2%
76000	87,2%
77000	87%
78000	87,4%
79000	87,2%
80000	87,5%
81000	87,4%
82000	87,2%
83000	87,9%
84000	87%
85000	87,5%
86000	87,5%
87000	87,2%
88000	87,3%
89000	87,4%
90000	87,3%
91000	87,6%
92000	87,2%
93000	87,6%
94000	87,5%
95000	87,6%
96000	87,6%
97000	87,1%
98000	87,3%
99000	86,9%
	100	20	0,2	0,02	0,005	False	0,5	0,8924	233,606	100000
