	hidden_neuron_count	batch_size	initial_weights	learning_rate	momentum_rate	adaptive	accuracy	time	examples
	10	50	0,05	0,05	0,05	False	0,7682	26,954	100000
	20	50	0,05	0,05	0,05	False	0,9121	43,524	79050
	50	50	0,05	0,05	0,05	False	0,9114	45,72	41050
	100	50	0,05	0,05	0,05	False	0,9175	103,246	51050
	200	50	0,05	0,05	0,05	False	0,908	114,285	29050
	500	50	0,05	0,05	0,05	False	0,9111	552,405	52050
	100	1	0,05	0,05	0,05	False	0,9229	69,562	15001
	100	10	0,05	0,05	0,05	False	0,9122	32,617	14010
	100	20	0,05	0,05	0,05	False	0,9028	30,795	14020
	100	50	0,05	0,05	0,05	False	0,9078	86,436	43050
	100	100	0,05	0,05	0,05	False	0,8179	191,033	100000
	100	200	0,05	0,05	0,05	False	0,195	188,924	100000
	100	500	0,05	0,05	0,05	False	0,1135	190,296	100000
	100	50	0	0,05	0,05	False	0,9154	94,782	47050
	100	50	0,001	0,05	0,05	False	0,8887	90,488	45050
	100	50	0,002	0,05	0,05	False	0,9022	68,388	34050
	100	50	0,005	0,05	0,05	False	0,9132	82,418	41050
	100	50	0,01	0,05	0,05	False	0,8944	80,288	40050
	100	50	0,02	0,05	0,05	False	0,9153	104,4	52050
	100	50	0,05	0,05	0,05	False	0,9083	66,586	33050
	100	50	0,1	0,05	0,05	False	0,9122	68,185	34050
	100	50	0,2	0,05	0,05	False	0,9037	52,371	26050
	100	50	0,5	0,05	0,05	False	0,8952	60,307	30050
	100	50	1	0,05	0,05	False	0,9112	92,412	46050
	100	50	0,05	0,001	0,05	False	0,9004	90,24	45050
	100	50	0,05	0,002	0,05	False	0,9145	106,593	53050
	100	50	0,05	0,005	0,05	False	0,9156	68,272	34050
	100	50	0,05	0,01	0,05	False	0,914	68,368	34050
	100	50	0,05	0,02	0,05	False	0,8968	56,23	28050
	100	50	0,05	0,05	0,05	False	0,9106	70,24	35050
	100	50	0,05	0,1	0,05	False	0,9132	106,411	53050
	100	50	0,05	0,2	0,05	False	0,8919	168,433	84050
	100	50	0,05	0,5	0,05	False	0,1837	201,497	100000
	100	50	0,05	1	0,05	False	0,1009	200,037	100000
	100	50	0,05	0,05	0	False	0,9107	36,233	18050
	100	50	0,05	0,05	0,001	False	0,9058	35,904	18050
	100	50	0,05	0,05	0,002	False	0,9045	36,086	18050
	100	50	0,05	0,05	0,005	False	0,9063	36,19	18050
	100	50	0,05	0,05	0,01	False	0,8994	46,21	23050
	100	50	0,05	0,05	0,02	False	0,9104	38,235	19050
	100	50	0,05	0,05	0,05	False	0,915	84,292	42050
	100	50	0,05	0,05	0,1	False	0,902	178,424	89050
	100	50	0,05	0,05	0,2	False	0,8408	199,852	100000
	100	50	0,05	0,05	0,5	False	0,2008	201,204	100000
	100	50	0,05	0,05	1	False	0,1135	200,082	100000
	100	50	0,05	0,05	0,05	True	0,9	201,688	100000
	100	50	0,05	0,05	0,05	False	0,915	105,336	52050
